23713,7387580651
21305,8916447877
20382,2308804555
20340,118760285
20298,1605516607
20298,9758703312
20298,6002481141
20298,0716829219
20297,5227142873
20296,9708772534
20296,4185774872
20295,8661568497
20295,3136655196
20294,7611110705
20294,2084946682
20293,65581649
20293,1030765579
20292,5502748685
20291,9974114147
20291,4444861887
20290,8914991822
20290,3384503875
20289,7853397963
20289,2321674007
20288,6789331926
20288,1256371641
20287,572279307
20287,0188596133
20286,465378075
20285,911834684
20285,3582294324
20284,804562312
20284,2508333148
20283,6970424327
20283,1431896578
20282,589274982
20282,0352983972
20281,4812598953
20280,9271594684
20280,3729971084
20279,8187728071
20279,2644865567
20278,7101383489
20278,1557281758
20277,6012560293
20277,0467219013
20276,4921257838
20275,9374676688
20275,382747548
20274,8279654136
20274,2731212574
20273,7182150714
20273,1632468475
20272,6082165776
20272,0531242536
20271,4979698676
20270,9427534114
20270,387474877
20269,8321342562
20269,2767315411
20268,7212667235
20268,1657397954
20267,6101507486
20267,0544995752
20266,498786267
20265,9430108159
20265,387173214
20264,831273453
20264,2753115249
20263,7192874216
20263,1632011351
20262,6070526573
20262,05084198
20261,4945690952
20260,9382339948
20260,3818366707
20259,8253771148
20259,268855319
20258,7122712753
20258,1556249755
20257,5989164115
20257,0421455753
20256,4853124587
20255,9284170537
20255,3714593521
20254,8144393459
20254,2573570269
20253,700212387
20253,1430054182
20252,5857361124
20252,0284044613
20251,471010457
20250,9135540913
20250,3560353561
20249,7984542433
20249,2408107448
20248,6831048525
20248,1253365582
20247,5675058539
20247,0096127314
20246,4516571826
20245,8936391994
20245,3355587737
20244,7774158974
20244,2192105623
20243,6609427603
20243,1026124833
20242,5442197232
20241,9857644718
20241,4272467211
20240,8686664628
20240,310023689
20239,7513183913
20239,1925505618
20238,6337201922
20238,0748272745
20237,5158718005
20236,9568537621
20236,3977731511
20235,8386299595
20235,279424179
20234,7201558015
20234,1608248189
20233,6014312231
20233,0419750059
20232,4824561592
20231,9228746747
20231,3632305445
20230,8035237603
20230,2437543139
20229,6839221974
20229,1240274024
20228,5640699208
20228,0040497445
20227,4439668654
20226,8838212752
20226,3236129659
20225,7633419292
20225,2030081571
20224,6426116413
20224,0821523737
20223,5216303462
20222,9610455505
20222,4003979785
20221,8396876222
20221,2789144731
20220,7180785234
20220,1571797646
20219,5962181888
20219,0351937877
20218,4741065532
20217,912956477
20217,3517435511
20216,7904677672
20216,2291291171
20215,6677275928
20215,106263186
20214,5447358885
20213,9831456922
20213,4214925888
20212,8597765703
20212,2979976284
20211,7361557549
20211,1742509417
20210,6122831806
20210,0502524633
20209,4881587818
20208,9260021278
20208,3637824931
20207,8014998696
20207,239154249
20206,6767456231
20206,1142739839
20205,5517393229
20204,9891416322
20204,4264809035
20203,8637571285
20203,3009702991
20202,7381204071
20202,1752074443
20201,6122314025
20201,0491922735
20200,486090049
20199,9229247209
20199,359696281
20198,7964047211
20198,2330500329
20197,6696322083
20197,106151239
20196,5426071168
20195,9789998336
20195,415329381
20194,851595751
20194,2877989352
20193,7239389255
20193,1600157136
20192,5960292913
20192,0319796505
20191,4678667828
20190,9036906802
20190,3394513342
20189,7751487368
20189,2107828796
20188,6463537546
20188,0818613533
20187,5173056677
20186,9526866895
20186,3880044104
20185,8232588223
20185,2584499168
20184,6935776858
20184,128642121
20183,5636432142
20182,9985809572
20182,4334553417
20181,8682663595
20181,3030140023
20180,7376982619
20180,1723191301
20179,6068765986
20179,0413706591
20178,4758013035
20177,9101685235
20177,3444723108
20176,7787126571
20176,2128895544
20175,6470029942
20175,0810529683
20174,5150394686
20173,9489624866
20173,3828220143
20172,8166180432
20172,2503505652
20171,6840195721
20171,1176250554
20170,5511670071
20169,9846454188
20169,4180602823
20168,8514115892
20168,2846993314
20167,7179235006
20167,1510840885
20166,5841810869
20166,0172144874
20165,4501842818
20164,8830904618
20164,3159330192
20163,7487119457
20163,181427233
20162,6140788729
20162,046666857
20161,4791911771
20160,911651825
20160,3440487922
20159,7763820706
20159,2086516519
20158,6408575278
20158,07299969
20157,5050781302
20156,9370928402
20156,3690438116
20155,8009310361
20155,2327545056
20154,6645142116
20154,0962101459
20153,5278423002
20152,9594106663
20152,3909152357
20151,8223560003
20151,2537329517
20150,6850460816
20150,1162953818
